frame,thread,name,gpuMs
1,0,Crossover/Range,0
1,0,Crossover/Cull,0
1,0,Crossover/Draw,0
1,1,Crossover/Range,0
1,1,Crossover/Cull,0
1,1,Crossover/Draw,0
2,0,Crossover/Range,0
2,0,Crossover/Cull,0
2,0,Crossover/Draw,0
2,1,Crossover/Range,0
2,1,Crossover/Cull,0
2,1,Crossover/Draw,0
3,0,Crossover/Range,0
3,0,Crossover/Cull,0
3,0,Crossover/Draw,0
3,1,Crossover/Range,0
3,1,Crossover/Cull,0
3,1,Crossover/Draw,0
4,0,Crossover/Range,0
4,0,Crossover/Cull,0
4,0,Crossover/Draw,0
4,1,Crossover/Range,0
4,1,Crossover/Cull,0
4,1,Crossover/Draw,0
5,0,Crossover/Range,0
5,0,Crossover/Cull,0
5,0,Crossover/Draw,0
6,0,Crossover/Range,0
6,0,Crossover/Cull,0
6,0,Crossover/Draw,0
7,0,Crossover/Range,0
7,0,Crossover/Cull,0
7,0,Crossover/Draw,0
8,0,Crossover/Range,0
8,0,Crossover/Cull,0
8,0,Crossover/Draw,0
8,1,Crossover/Range,0
8,1,Crossover/Cull,0
8,1,Crossover/Draw,0
9,0,Crossover/Range,0
9,0,Crossover/Cull,0
9,0,Crossover/Draw,0
9,1,Crossover/Range,0
9,1,Crossover/Cull,0
9,1,Crossover/Draw,0
10,0,Crossover/Range,0
10,0,Crossover/Cull,0
10,0,Crossover/Draw,0
10,1,Crossover/Range,0
10,1,Crossover/Cull,0
10,1,Crossover/Draw,0
11,0,Crossover/Range,0
11,0,Crossover/Cull,0
11,0,Crossover/Draw,0
11,1,Crossover/Range,0
11,1,Crossover/Cull,0
11,1,Crossover/Draw,0
12,0,Crossover/Range,0
12,0,Crossover/Cull,0
12,0,Crossover/Draw,0
12,1,Crossover/Range,0
12,1,Crossover/Cull,0
12,1,Crossover/Draw,0
13,0,Crossover/Range,0
13,0,Crossover/Cull,0
13,0,Crossover/Draw,0
13,1,Crossover/Range,0
13,1,Crossover/Cull,0
13,1,Crossover/Draw,0
14,0,Crossover/Range,0
14,0,Crossover/Cull,0
14,0,Crossover/Draw,0
14,1,Crossover/Range,0
14,1,Crossover/Cull,0
14,1,Crossover/Draw,0
15,0,Crossover/Range,0
15,0,Crossover/Cull,0
15,0,Crossover/Draw,0
15,1,Crossover/Range,0
15,1,Crossover/Cull,0
15,1,Crossover/Draw,0
16,0,Crossover/Range,0
16,0,Crossover/Cull,0
16,0,Crossover/Draw,0
16,1,Crossover/Range,0
16,1,Crossover/Cull,0
16,1,Crossover/Draw,0
17,0,Crossover/Range,0
17,0,Crossover/Cull,0
17,0,Crossover/Draw,0
17,1,Crossover/Range,0
17,1,Crossover/Cull,0
17,1,Crossover/Draw,0
18,0,Crossover/Range,0
18,0,Crossover/Cull,0
18,0,Crossover/Draw,0
18,1,Crossover/Range,0
18,1,Crossover/Cull,0
18,1,Crossover/Draw,0
19,0,Crossover/Range,0
19,0,Crossover/Cull,0
19,0,Crossover/Draw,0
19,1,Crossover/Range,0
19,1,Crossover/Cull,0
19,1,Crossover/Draw,0
20,0,Crossover/Range,0
20,0,Crossover/Cull,0
20,0,Crossover/Draw,0
20,1,Crossover/Range,0
20,1,Crossover/Cull,0
20,1,Crossover/Draw,0
21,0,Crossover/Range,0
21,0,Crossover/Cull,0
21,0,Crossover/Draw,0
21,1,Crossover/Range,0
21,1,Crossover/Cull,0
21,1,Crossover/Draw,0
22,0,Crossover/Range,0
22,0,Crossover/Cull,0
22,0,Crossover/Draw,0
22,1,Crossover/Range,0
22,1,Crossover/Cull,0
22,1,Crossover/Draw,0
23,0,Crossover/Range,0
23,0,Crossover/Cull,0
23,0,Crossover/Draw,0
23,1,Crossover/Range,0
23,1,Crossover/Cull,0
23,1,Crossover/Draw,0
24,0,Crossover/Range,0
24,0,Crossover/Cull,0
24,0,Crossover/Draw,0
25,0,Crossover/Range,0
25,0,Crossover/Cull,0
25,0,Crossover/Draw,0
25,1,Crossover/Range,0
25,1,Crossover/Cull,0
25,1,Crossover/Draw,0
26,0,Crossover/Range,0
26,0,Crossover/Cull,0
26,0,Crossover/Draw,0
26,1,Crossover/Range,0
26,1,Crossover/Cull,0
26,1,Crossover/Draw,0
27,0,Crossover/Range,0
27,0,Crossover/Cull,0
27,0,Crossover/Draw,0
27,1,Crossover/Range,0
27,1,Crossover/Cull,0
27,1,Crossover/Draw,0
28,0,Crossover/Range,0
28,0,Crossover/Cull,0
28,0,Crossover/Draw,0
28,1,Crossover/Range,0
28,1,Crossover/Cull,0
28,1,Crossover/Draw,0
29,0,Crossover/Range,0
29,0,Crossover/Cull,0
29,0,Crossover/Draw,0
29,1,Crossover/Range,0
29,1,Crossover/Cull,0
29,1,Crossover/Draw,0
30,0,Crossover/Range,0
30,0,Crossover/Cull,0
30,0,Crossover/Draw,0
30,1,Crossover/Range,0
30,1,Crossover/Cull,0
30,1,Crossover/Draw,0
31,0,Crossover/Range,0
31,0,Crossover/Cull,0
31,0,Crossover/Draw,0
31,1,Crossover/Range,0
31,1,Crossover/Cull,0
31,1,Crossover/Draw,0
32,0,Crossover/Range,0
32,0,Crossover/Cull,0
32,0,Crossover/Draw,0
32,1,Crossover/Range,0
32,1,Crossover/Cull,0
32,1,Crossover/Draw,0
33,0,Crossover/Range,0
33,0,Crossover/Cull,0
33,0,Crossover/Draw,0
33,1,Crossover/Range,0
33,1,Crossover/Cull,0
33,1,Crossover/Draw,0
34,0,Crossover/Range,0
34,0,Crossover/Cull,0
34,0,Crossover/Draw,0
34,1,Crossover/Range,0
34,1,Crossover/Cull,0
34,1,Crossover/Draw,0
35,0,Crossover/Range,0
35,0,Crossover/Cull,0
35,0,Crossover/Draw,0
35,1,Crossover/Range,0
35,1,Crossover/Cull,0
35,1,Crossover/Draw,0
36,0,Crossover/Range,0
36,0,Crossover/Cull,0
36,0,Crossover/Draw,0
36,1,Crossover/Range,0
36,1,Crossover/Cull,0
36,1,Crossover/Draw,0
37,0,Crossover/Range,0
37,0,Crossover/Cull,0
37,0,Crossover/Draw,0
37,1,Crossover/Range,0
37,1,Crossover/Cull,0
37,1,Crossover/Draw,0
38,0,Crossover/Range,0
38,0,Crossover/Cull,0
38,0,Crossover/Draw,0
38,1,Crossover/Range,0
38,1,Crossover/Cull,0
38,1,Crossover/Draw,0
39,0,Crossover/Range,0
39,0,Crossover/Cull,0
39,0,Crossover/Draw,0
39,1,Crossover/Range,0
39,1,Crossover/Cull,0
39,1,Crossover/Draw,0
40,0,Crossover/Range,0
40,0,Crossover/Cull,0
40,0,Crossover/Draw,0
40,1,Crossover/Range,0
40,1,Crossover/Cull,0
40,1,Crossover/Draw,0
41,0,Crossover/Range,0
41,0,Crossover/Cull,0
41,0,Crossover/Draw,0
41,1,Crossover/Range,0
41,1,Crossover/Cull,0
41,1,Crossover/Draw,0
42,0,Crossover/Range,0
42,0,Crossover/Cull,0
42,0,Crossover/Draw,0
42,1,Crossover/Range,0
42,1,Crossover/Cull,0
42,1,Crossover/Draw,0
43,0,Crossover/Range,0
43,0,Crossover/Cull,0
43,0,Crossover/Draw,0
43,1,Crossover/Range,0
43,1,Crossover/Cull,0
43,1,Crossover/Draw,0
44,0,Crossover/Range,0
44,0,Crossover/Cull,0
44,0,Crossover/Draw,0
44,1,Crossover/Range,0
44,1,Crossover/Cull,0
44,1,Crossover/Draw,0
45,0,Crossover/Range,0
45,0,Crossover/Cull,0
45,0,Crossover/Draw,0
45,1,Crossover/Range,0
45,1,Crossover/Cull,0
45,1,Crossover/Draw,0
46,0,Crossover/Range,0
46,0,Crossover/Cull,0
46,0,Crossover/Draw,0
46,1,Crossover/Range,0
46,1,Crossover/Cull,0
46,1,Crossover/Draw,0
47,0,Crossover/Range,0
47,0,Crossover/Cull,0
47,0,Crossover/Draw,0
47,1,Crossover/Range,0
47,1,Crossover/Cull,0
47,1,Crossover/Draw,0
48,0,Crossover/Range,0
48,0,Crossover/Cull,0
48,0,Crossover/Draw,0
48,1,Crossover/Range,0
48,1,Crossover/Cull,0
48,1,Crossover/Draw,0
49,0,Crossover/Range,0
49,0,Crossover/Cull,0
49,0,Crossover/Draw,0
49,1,Crossover/Range,0
49,1,Crossover/Cull,0
49,1,Crossover/Draw,0
50,0,Crossover/Range,0
50,0,Crossover/Cull,0
50,0,Crossover/Draw,0
50,1,Crossover/Range,0
50,1,Crossover/Cull,0
50,1,Crossover/Draw,0
51,0,Crossover/Range,0
51,0,Crossover/Cull,0
51,0,Crossover/Draw,0
51,1,Crossover/Range,0
51,1,Crossover/Cull,0
51,1,Crossover/Draw,0
52,0,Crossover/Range,0
52,0,Crossover/Cull,0
52,0,Crossover/Draw,0
52,1,Crossover/Range,0
52,1,Crossover/Cull,0
52,1,Crossover/Draw,0
53,0,Crossover/Range,0
53,0,Crossover/Cull,0
53,0,Crossover/Draw,0
53,1,Crossover/Range,0
53,1,Crossover/Cull,0
53,1,Crossover/Draw,0
54,0,Crossover/Range,0
54,0,Crossover/Cull,0
54,0,Crossover/Draw,0
54,1,Crossover/Range,0
54,1,Crossover/Cull,0
54,1,Crossover/Draw,0
55,0,Crossover/Range,0
55,0,Crossover/Cull,0
55,0,Crossover/Draw,0
55,1,Crossover/Range,0
55,1,Crossover/Cull,0
55,1,Crossover/Draw,0
56,0,Crossover/Range,0
56,0,Crossover/Cull,0
56,0,Crossover/Draw,0
56,1,Crossover/Range,0
56,1,Crossover/Cull,0
56,1,Crossover/Draw,0
57,0,Crossover/Range,0
57,0,Crossover/Cull,0
57,0,Crossover/Draw,0
57,1,Crossover/Range,0
57,1,Crossover/Cull,0
57,1,Crossover/Draw,0
58,0,Crossover/Range,0
58,0,Crossover/Cull,0
58,0,Crossover/Draw,0
58,1,Crossover/Range,0
58,1,Crossover/Cull,0
58,1,Crossover/Draw,0
59,0,Crossover/Range,0
59,0,Crossover/Cull,0
59,0,Crossover/Draw,0
59,1,Crossover/Range,0
59,1,Crossover/Cull,0
59,1,Crossover/Draw,0
60,0,Crossover/Range,0
60,0,Crossover/Cull,0
60,0,Crossover/Draw,0
60,1,Crossover/Range,0
60,1,Crossover/Cull,0
60,1,Crossover/Draw,0
61,0,Crossover/Range,0
61,0,Crossover/Cull,0
61,0,Crossover/Draw,0
61,1,Crossover/Range,0
61,1,Crossover/Cull,0
61,1,Crossover/Draw,0
62,0,Crossover/Range,0
62,0,Crossover/Cull,0
62,0,Crossover/Draw,0
62,1,Crossover/Range,0
62,1,Crossover/Cull,0
62,1,Crossover/Draw,0
63,0,Crossover/Range,0
63,0,Crossover/Cull,0
63,0,Crossover/Draw,0
63,1,Crossover/Range,0
63,1,Crossover/Cull,0
63,1,Crossover/Draw,0
64,0,Crossover/Range,0
64,0,Crossover/Cull,0
64,0,Crossover/Draw,0
64,1,Crossover/Range,0
64,1,Crossover/Cull,0
64,1,Crossover/Draw,0
65,0,Crossover/Range,0
65,0,Crossover/Cull,0
65,0,Crossover/Draw,0
65,1,Crossover/Range,0
65,1,Crossover/Cull,0
65,1,Crossover/Draw,0
66,0,Crossover/Range,0
66,0,Crossover/Cull,0
66,0,Crossover/Draw,0
66,1,Crossover/Range,0
66,1,Crossover/Cull,0
66,1,Crossover/Draw,0
67,0,Crossover/Range,0
67,0,Crossover/Cull,0
67,0,Crossover/Draw,0
67,1,Crossover/Range,0
67,1,Crossover/Cull,0
67,1,Crossover/Draw,0
68,0,Crossover/Range,0
68,0,Crossover/Cull,0
68,0,Crossover/Draw,0
68,1,Crossover/Range,0
68,1,Crossover/Cull,0
68,1,Crossover/Draw,0
69,0,Crossover/Range,0
69,0,Crossover/Cull,0
69,0,Crossover/Draw,0
69,1,Crossover/Range,0
69,1,Crossover/Cull,0
69,1,Crossover/Draw,0
70,0,Crossover/Range,0
70,0,Crossover/Cull,0
70,0,Crossover/Draw,0
70,1,Crossover/Range,0
70,1,Crossover/Cull,0
70,1,Crossover/Draw,0
71,0,Crossover/Range,0
71,0,Crossover/Cull,0
71,0,Crossover/Draw,0
71,1,Crossover/Range,0
71,1,Crossover/Cull,0
71,1,Crossover/Draw,0
72,0,Crossover/Range,0
72,0,Crossover/Cull,0
72,0,Crossover/Draw,0
72,1,Crossover/Range,0
72,1,Crossover/Cull,0
72,1,Crossover/Draw,0
73,0,Crossover/Range,0
73,0,Crossover/Cull,0
73,0,Crossover/Draw,0
73,1,Crossover/Range,0
73,1,Crossover/Cull,0
73,1,Crossover/Draw,0
74,0,Crossover/Range,0
74,0,Crossover/Cull,0
74,0,Crossover/Draw,0
74,1,Crossover/Range,0
74,1,Crossover/Cull,0
74,1,Crossover/Draw,0
75,0,Crossover/Range,0
75,0,Crossover/Cull,0
75,0,Crossover/Draw,0
75,1,Crossover/Range,0
75,1,Crossover/Cull,0
75,1,Crossover/Draw,0
76,0,Crossover/Range,0
76,0,Crossover/Cull,0
76,0,Crossover/Draw,0
76,1,Crossover/Range,0
76,1,Crossover/Cull,0
76,1,Crossover/Draw,0
77,0,Crossover/Range,0
77,0,Crossover/Cull,0
77,0,Crossover/Draw,0
77,1,Crossover/Range,0
77,1,Crossover/Cull,0
77,1,Crossover/Draw,0
78,0,Crossover/Range,0
78,0,Crossover/Cull,0
78,0,Crossover/Draw,0
78,1,Crossover/Range,0
78,1,Crossover/Cull,0
78,1,Crossover/Draw,0
79,0,Crossover/Range,0
79,0,Crossover/Cull,0
79,0,Crossover/Draw,0
79,1,Crossover/Range,0
79,1,Crossover/Cull,0
79,1,Crossover/Draw,0
80,0,Crossover/Range,0
80,0,Crossover/Cull,0
80,0,Crossover/Draw,0
80,1,Crossover/Range,0
80,1,Crossover/Cull,0
80,1,Crossover/Draw,0
81,0,Crossover/Range,0
81,0,Crossover/Cull,0
81,0,Crossover/Draw,0
81,1,Crossover/Range,0
81,1,Crossover/Cull,0
81,1,Crossover/Draw,0
82,0,Crossover/Range,0
82,0,Crossover/Cull,0
82,0,Crossover/Draw,0
82,1,Crossover/Range,0
82,1,Crossover/Cull,0
82,1,Crossover/Draw,0
83,0,Crossover/Range,0
83,0,Crossover/Cull,0
83,0,Crossover/Draw,0
83,1,Crossover/Range,0
83,1,Crossover/Cull,0
83,1,Crossover/Draw,0
