frame,thread,name,gpuMs
1,0,Crossover/Range,0
1,0,Crossover/Cull,0
1,0,Crossover/Draw,0
2,0,Crossover/Range,0.031
2,0,Crossover/Cull,0.009
2,0,Crossover/Draw,0.022
3,0,Crossover/Range,0.035
3,0,Crossover/Cull,0.012
3,0,Crossover/Draw,0.023
4,0,Crossover/Range,0.034
4,0,Crossover/Cull,0.011
4,0,Crossover/Draw,0.023
5,0,Crossover/Range,0.11
5,0,Crossover/Cull,0.023
5,0,Crossover/Draw,0.087
6,0,Crossover/Range,0.031
6,0,Crossover/Cull,0.008
6,0,Crossover/Draw,0.023
7,0,Crossover/Range,0.031
7,0,Crossover/Cull,0.009
7,0,Crossover/Draw,0.022
8,0,Crossover/Range,0.064
8,0,Crossover/Cull,0.014
8,0,Crossover/Draw,0.05
9,0,Crossover/Range,0.031
9,0,Crossover/Cull,0.009
9,0,Crossover/Draw,0.022
10,0,Crossover/Range,0.057
10,0,Crossover/Cull,0.013
10,0,Crossover/Draw,0.044
11,0,Crossover/Range,0.03
11,0,Crossover/Cull,0.008
11,0,Crossover/Draw,0.022
12,0,Crossover/Range,0.057
12,0,Crossover/Cull,0.014
12,0,Crossover/Draw,0.043
13,0,Crossover/Range,0.03
13,0,Crossover/Cull,0.008
13,0,Crossover/Draw,0.022
14,0,Crossover/Range,0.03
14,0,Crossover/Cull,0.008
14,0,Crossover/Draw,0.022
15,0,Crossover/Range,0.03
15,0,Crossover/Cull,0.008
15,0,Crossover/Draw,0.022
16,0,Crossover/Range,0.03
16,0,Crossover/Cull,0.008
16,0,Crossover/Draw,0.022
17,0,Crossover/Range,0.083
17,0,Crossover/Cull,0.017
17,0,Crossover/Draw,0.066
18,0,Crossover/Range,0.059
18,0,Crossover/Cull,0.015
18,0,Crossover/Draw,0.044
19,0,Crossover/Range,0.121
19,0,Crossover/Cull,0.031
19,0,Crossover/Draw,0.09
20,0,Crossover/Range,0.112
20,0,Crossover/Cull,0.025
20,0,Crossover/Draw,0.087
21,0,Crossover/Range,0.087
21,0,Crossover/Cull,0.021
21,0,Crossover/Draw,0.066
22,0,Crossover/Range,0.035
22,0,Crossover/Cull,0.013
22,0,Crossover/Draw,0.022
23,0,Crossover/Range,0.113
23,0,Crossover/Cull,0.024
23,0,Crossover/Draw,0.089
24,0,Crossover/Range,0.085
24,0,Crossover/Cull,0.018
24,0,Crossover/Draw,0.067
25,0,Crossover/Range,0.035
25,0,Crossover/Cull,0.013
25,0,Crossover/Draw,0.022
26,0,Crossover/Range,0.031
26,0,Crossover/Cull,0.009
26,0,Crossover/Draw,0.022
27,0,Crossover/Range,0.112
27,0,Crossover/Cull,0.024
27,0,Crossover/Draw,0.088
28,0,Crossover/Range,0.083
28,0,Crossover/Cull,0.018
28,0,Crossover/Draw,0.065
29,0,Crossover/Range,0.059
29,0,Crossover/Cull,0.014
29,0,Crossover/Draw,0.045
30,0,Crossover/Range,0.032
30,0,Crossover/Cull,0.009
30,0,Crossover/Draw,0.023
31,0,Crossover/Range,0.031
31,0,Crossover/Cull,0.009
31,0,Crossover/Draw,0.022
32,0,Crossover/Range,0.031
32,0,Crossover/Cull,0.008
32,0,Crossover/Draw,0.023
33,0,Crossover/Range,0.083
33,0,Crossover/Cull,0.019
33,0,Crossover/Draw,0.064
34,0,Crossover/Range,0.057
34,0,Crossover/Cull,0.013
34,0,Crossover/Draw,0.044
35,0,Crossover/Range,0.057
35,0,Crossover/Cull,0.013
35,0,Crossover/Draw,0.044
36,0,Crossover/Range,0.03
36,0,Crossover/Cull,0.008
36,0,Crossover/Draw,0.022
37,0,Crossover/Range,0.11
37,0,Crossover/Cull,0.024
37,0,Crossover/Draw,0.086
38,0,Crossover/Range,0.03
38,0,Crossover/Cull,0.008
38,0,Crossover/Draw,0.022
39,0,Crossover/Range,0.057
39,0,Crossover/Cull,0.013
39,0,Crossover/Draw,0.044
40,0,Crossover/Range,0.11
40,0,Crossover/Cull,0.024
40,0,Crossover/Draw,0.086
41,0,Crossover/Range,0.084
41,0,Crossover/Cull,0.018
41,0,Crossover/Draw,0.066
42,0,Crossover/Range,0.11
42,0,Crossover/Cull,0.022
42,0,Crossover/Draw,0.088
43,0,Crossover/Range,0.11
43,0,Crossover/Cull,0.023
43,0,Crossover/Draw,0.087
44,0,Crossover/Range,0.11
44,0,Crossover/Cull,0.024
44,0,Crossover/Draw,0.086
45,0,Crossover/Range,0.03
45,0,Crossover/Cull,0.008
45,0,Crossover/Draw,0.022
46,0,Crossover/Range,0.11
46,0,Crossover/Cull,0.023
46,0,Crossover/Draw,0.087
47,0,Crossover/Range,0.114
47,0,Crossover/Cull,0.024
47,0,Crossover/Draw,0.09
48,0,Crossover/Range,0.115
48,0,Crossover/Cull,0.027
48,0,Crossover/Draw,0.088
49,0,Crossover/Range,0.083
49,0,Crossover/Cull,0.018
49,0,Crossover/Draw,0.065
50,0,Crossover/Range,0.031
50,0,Crossover/Cull,0.008
50,0,Crossover/Draw,0.023
51,0,Crossover/Range,0.035
51,0,Crossover/Cull,0.013
51,0,Crossover/Draw,0.022
52,0,Crossover/Range,0.085
52,0,Crossover/Cull,0.019
52,0,Crossover/Draw,0.066
53,0,Crossover/Range,0.062
53,0,Crossover/Cull,0.018
53,0,Crossover/Draw,0.044
54,0,Crossover/Range,0.097
54,0,Crossover/Cull,0.019
54,0,Crossover/Draw,0.078
55,0,Crossover/Range,0.031
55,0,Crossover/Cull,0.008
55,0,Crossover/Draw,0.023
56,0,Crossover/Range,0.089
56,0,Crossover/Cull,0.023
56,0,Crossover/Draw,0.066
57,0,Crossover/Range,0.085
57,0,Crossover/Cull,0.019
57,0,Crossover/Draw,0.066
58,0,Crossover/Range,0.11
58,0,Crossover/Cull,0.023
58,0,Crossover/Draw,0.087
59,0,Crossover/Range,0.087
59,0,Crossover/Cull,0.021
59,0,Crossover/Draw,0.066
60,0,Crossover/Range,0.057
60,0,Crossover/Cull,0.013
60,0,Crossover/Draw,0.044
61,0,Crossover/Range,0.058
61,0,Crossover/Cull,0.014
61,0,Crossover/Draw,0.044
62,0,Crossover/Range,0.11
62,0,Crossover/Cull,0.022
62,0,Crossover/Draw,0.088
63,0,Crossover/Range,0.056
63,0,Crossover/Cull,0.012
63,0,Crossover/Draw,0.044
64,0,Crossover/Range,0.03
64,0,Crossover/Cull,0.008
64,0,Crossover/Draw,0.022
65,0,Crossover/Range,0.056
65,0,Crossover/Cull,0.013
65,0,Crossover/Draw,0.043
66,0,Crossover/Range,0.084
66,0,Crossover/Cull,0.017
66,0,Crossover/Draw,0.067
67,0,Crossover/Range,0.058
67,0,Crossover/Cull,0.014
67,0,Crossover/Draw,0.044
68,0,Crossover/Range,0.057
68,0,Crossover/Cull,0.013
68,0,Crossover/Draw,0.044
69,0,Crossover/Range,0.085
69,0,Crossover/Cull,0.018
69,0,Crossover/Draw,0.067
70,0,Crossover/Range,0.058
70,0,Crossover/Cull,0.014
70,0,Crossover/Draw,0.044
71,0,Crossover/Range,0.059
71,0,Crossover/Cull,0.014
71,0,Crossover/Draw,0.045
72,0,Crossover/Range,0.031
72,0,Crossover/Cull,0.008
72,0,Crossover/Draw,0.023
73,0,Crossover/Range,0.032
73,0,Crossover/Cull,0.01
73,0,Crossover/Draw,0.022
74,0,Crossover/Range,0.109
74,0,Crossover/Cull,0.021
74,0,Crossover/Draw,0.088
75,0,Crossover/Range,0.084
75,0,Crossover/Cull,0.018
75,0,Crossover/Draw,0.066
76,0,Crossover/Range,0.11
76,0,Crossover/Cull,0.022
76,0,Crossover/Draw,0.088
77,0,Crossover/Range,0.083
77,0,Crossover/Cull,0.017
77,0,Crossover/Draw,0.066
78,0,Crossover/Range,0.111
78,0,Crossover/Cull,0.023
78,0,Crossover/Draw,0.088
79,0,Crossover/Range,0.11
79,0,Crossover/Cull,0.022
79,0,Crossover/Draw,0.088
80,0,Crossover/Range,0.06
80,0,Crossover/Cull,0.015
80,0,Crossover/Draw,0.045
81,0,Crossover/Range,0.083
81,0,Crossover/Cull,0.018
81,0,Crossover/Draw,0.065
82,0,Crossover/Range,0.03
82,0,Crossover/Cull,0.008
82,0,Crossover/Draw,0.022
83,0,Crossover/Range,0.112
83,0,Crossover/Cull,0.027
83,0,Crossover/Draw,0.085
84,0,Crossover/Range,0.14
84,0,Crossover/Cull,0.05
84,0,Crossover/Draw,0.09
85,0,Crossover/Range,0.06
85,0,Crossover/Cull,0.016
85,0,Crossover/Draw,0.044
86,0,Crossover/Range,0.06
86,0,Crossover/Cull,0.014
86,0,Crossover/Draw,0.046
87,0,Crossover/Range,0.09
87,0,Crossover/Cull,0.023
87,0,Crossover/Draw,0.067
88,0,Crossover/Range,0.031
88,0,Crossover/Cull,0.009
88,0,Crossover/Draw,0.022
89,0,Crossover/Range,0.084
89,0,Crossover/Cull,0.019
89,0,Crossover/Draw,0.065
90,0,Crossover/Range,0.092
90,0,Crossover/Cull,0.024
90,0,Crossover/Draw,0.068
91,0,Crossover/Range,0.032
91,0,Crossover/Cull,0.01
91,0,Crossover/Draw,0.022
92,0,Crossover/Range,0.083
92,0,Crossover/Cull,0.018
92,0,Crossover/Draw,0.065
93,0,Crossover/Range,0.033
93,0,Crossover/Cull,0.01
93,0,Crossover/Draw,0.023
94,0,Crossover/Range,0.111
94,0,Crossover/Cull,0.023
94,0,Crossover/Draw,0.088
95,0,Crossover/Range,0.057
95,0,Crossover/Cull,0.013
95,0,Crossover/Draw,0.044
96,0,Crossover/Range,0.059
96,0,Crossover/Cull,0.015
96,0,Crossover/Draw,0.044
