phase,group,pair,count,baseline,candidate,baselineMilliseconds,candidateMilliseconds,baselineOverCandidate,order,baselineLogSha256,candidateLogSha256
1,scan-rts,1,268435456,rts,tile,5.764519999999999,9.30407,0.6195697151891592,rts/tile,16a71028cc4299d76743883e6c092505f9112e5bddfb95f8de420f00b6700689,94c67d69facee5a485b0c9d270fa60a94b5b27fa16ec304205fb7c46137d2d6f
1,scan-rts,2,268435456,rts,tile,5.7695300000000005,9.31209,0.6195741235318818,tile/rts,ef132dd2df033f37a955e170d06ab127a999f18a3edcd49815405769fa9a0615,18c738e2aab2b4c6d796cabf638c065afc98136dac5e9af0bb32060286cdda57
1,scan-rts,3,268435456,rts,tile,5.7630099999999995,9.30392,0.6194174068564647,rts/tile,71da6585c9338bfc3be147093a3105de95254bf91b6105ce9e16b16e1282da8a,612a9c9c18610f2283eb990fca6d2456a101b791faa2e0d629cb61f56d330af5
1,scan-rts,4,268435456,rts,tile,5.769959999999999,9.31011,0.6197520759690271,tile/rts,bc85d777b9efdacca59d3f015b968d3c12da79d58e9eb4fd8109676caae9eee0,e35df07816e1b91b1d017bbdb9c6ae5c81521e5f3dd6a3d75f826c11cb10d4c5
1,scan-rts,5,268435456,rts,tile,5.756959999999999,9.31262,0.618189081053452,rts/tile,99b7d9a9fa1b16dfebb912064b80d1605b18fc4116e36f9e14455234f8307528,2c6935462ad9edecc94870274e78254bfaad7c31030b24738ef53d533beb6cc2
1,sort-device,1,268435456,device,tile4,50.46584,98.93637,0.5100838043684036,device/tile4,eee12320df9abc8daca81ea2cff81bc37c1d13d08fa0df4c6b6e7e4a3a9e7912,a6b13a8961a45c949aee5e335e74614755890371e2f3779abc7c4359bec3ace9
1,sort-device,2,268435456,device,tile4,48.724489999999996,98.91631000000001,0.4925829724137505,tile4/device,3da002ec97491e8d6218d385614cebf3158c946b76250f06f822742791426fea,24fb969880be7d23c023205ea6c4e1280c409a74ac3687587146d59d0b5f36ac
1,sort-device,3,268435456,device,tile4,48.74885,96.11777000000001,0.5071783292517086,device/tile4,07dbf0fd3deaacf723cb9ab7c4f246a0abcf6d7aa9640c452c13f19c80a26847,eebe25cd1a75630dd2dc893f29b56dad42f1a03d940aa537a8d296608944ab4d
1,sort-device,4,268435456,device,tile4,50.467639999999996,99.8977,0.5051932126565476,tile4/device,e843e12e24b38f758c1490bbc7abd4928d71891e13821ffc400bf7191db07d87,3ee933fe6c482f72973a0aa54a74f833ac4ab0e4a530221eeb4dfc74a4589f6f
1,sort-device,5,268435456,device,tile4,50.13351,99.74790999999999,0.5026021096582375,device/tile4,00d49981e722468d6e2194f7dad4c50e08279d3aa4b51bfed9ff1abc65d8a3c0,3b38312b78f4d5170624944334bf65d72313f0dab9569b33502d6899d0cb1b46
1,sort-onesweep,1,268435456,onesweep,tile4,41.558460000000004,94.74966,0.4386132889553377,onesweep/tile4,cbb148ab16d3f8b34594b1e5533c4497ecffb8fc44bf58e9391d04cc7126a47d,acf615a362611b3cc5a162ae76d603b1c3debae79834de0a772b3c93098839b3
1,sort-onesweep,2,268435456,onesweep,tile4,38.95984,93.02094,0.4188287067406543,tile4/onesweep,8dfcf9428f0644a1f257e7e6d92d53a9e4db815dd71df77de33e3df6eadeabab,4a86c190cab662cc40b06aceb87548193ed24d2208ad62c51369c9f413435bb0
1,sort-onesweep,3,268435456,onesweep,tile4,38.95828,93.07615,0.41856350955642235,onesweep/tile4,f18425914db0fab2120d237aee84834a07bc48fb8707094f4dff85eb502021fb,5944b1989c4945d7daf1ca80a8371f97d1223ea08c84cc2d894c55bb73166e54
1,sort-onesweep,4,268435456,onesweep,tile4,38.93978,93.06056,0.41843483426276395,tile4/onesweep,70dc6885756317efa579f6cfabba8f6ce07b1b4097ad1126997cff9d10832112,df925c67c352a033730e19af4d7ec8dfdd86b83fb948c0e1edd2b9dca6aca65f
