metric,exact_metric_name,tile,tile-fused,rts,capture_set,scope
DRAM throughput activity (%),FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed,71.0448,58.5548,69.4588,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
DRAM read activity (%),FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed,35.585,19.6442,34.7299,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
DRAM write activity (%),FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed,35.4598,38.9106,34.729,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
L2 throughput activity (%),LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed,23.3848,25.6579,27.2161,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
SM throughput (%),GPUTrace.sm__throughput.avg.pct_of_peak_sustained_elapsed,3.11154,3.85622,3.33324,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
Compute active warps (% peak elapsed),TPC.TriageSCG.tpc__warps_active_shader_cs_realtime.avg.pct_of_peak_sustained_elapsed,28.7308,26.2211,58.3605,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
Compute register allocation (% peak elapsed),TPC.TriageSCG.tpc__sm_rf_registers_allocated_shader_cs_realtime.avg.pct_of_peak_sustained_elapsed,17.7687,25.1431,38.4488,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
L1TEX sector hit rate (%),SM_B.TriageSCG.l1tex__t_sector_hit_rate.pct,54.8462,62.3106,65.8144,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
Pixel active warps (% peak elapsed),TPC.TriageSCG.tpc__warps_active_shader_ps_realtime.avg.pct_of_peak_sustained_elapsed,0.00783379,0.179839,0.00241941,throughput,"whole capture; includes input generation, scan and query resolve; potentially contaminated by other GPU activity"
Shader stall: long_scoreboard_pipe_l1tex (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_long_scoreboard_pipe_l1tex.avg.pct_of_peak_sustained_elapsed,16.245,6.04934,27.2416,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
Shader stall: barrier (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_barrier.avg.pct_of_peak_sustained_elapsed,8.93252,15.4343,10.0307,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
Shader stall: lg_throttle (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_lg_throttle.avg.pct_of_peak_sustained_elapsed,2.2168,3.78106,8.50185,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
Shader stall: short_scoreboard (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_short_scoreboard.avg.pct_of_peak_sustained_elapsed,0.539505,0.947765,8.60934,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
Shader stall: membar (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_membar.avg.pct_of_peak_sustained_elapsed,0.396108,0.672593,0.0,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
Shader stall: wait (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_wait.avg.pct_of_peak_sustained_elapsed,0.804533,0.858793,0.785445,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
Shader stall: mio_throttle_pipe_mio (% peak elapsed),GPUTrace.PCSampler.tpc__warps_issue_stalled_mio_throttle_pipe_mio.avg.pct_of_peak_sustained_elapsed,0.0111311,0.0357139,11.7194,shader profiler,"whole capture; percentages retain Nsight denominator and are not a normalized stall pie chart"
