candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.9252,1.9618,0.0132,1633.9492,0.9765,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","1.9252;1.8948;1.936;1.9089;1.9495;1.8907;1.9555;1.9016;1.9186;1.9681;1.9263",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.8616,1.919,0.0147,1689.8162,1.0098,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","1.88;1.8616;1.8962;1.8592;1.8727;1.8555;1.8504;1.8553;1.9419;1.8553;1.8956",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,1.8458,1.9483,0.0258,1704.2257,1.0185,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","1.866;1.863;1.9119;1.9847;1.8458;1.8296;1.8272;1.8332;1.8274;1.8649;1.8315",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.9458,2.0077,0.024,1616.651,0.9661,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0285;1.9753;1.8909;1.9458;1.987;1.9497;1.8882;1.923;1.8862;1.9512;1.8965",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.8799,1.9085,0.0113,1673.3486,1,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","1.9108;1.8571;1.8813;1.8595;1.8952;1.8605;1.9063;1.8568;1.8996;1.86;1.8799",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,1.8499,1.9497,0.0311,1700.4854,1.0162,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","1.8558;1.8533;2.032;1.8654;1.825;1.8499;1.8333;1.8673;1.8334;1.8398;1.8332",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.9201,2.081,0.036,1638.3232,0.9791,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.1019;1.9758;1.9806;1.9415;1.9086;1.9095;2.0601;1.9201;1.8939;1.9024;1.895",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.8862,1.9131,0.0081,1667.7772,0.9967,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","1.8793;1.9145;1.8784;1.9106;1.8776;1.9117;1.8763;1.8919;1.8756;1.8928;1.8862",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,1.8827,2.0047,0.0297,1670.8599,0.9985,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.0412;1.8992;1.8634;1.8664;1.8588;1.8827;1.8624;1.9131;1.9018;1.9681;1.8646",""
"HLSLPERF_CROWD_BACKEND-2__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_REPLICAS-1__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-128__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-2__HLSLPERF_VECTOR_WIDTH-1__HLSLPERF_WAVE_SIZE-32",true,true,true,"",,,,,,,,4,2.036,2.2688,0.0502,1545.0834,0.9233,"HLSLPERF_CROWD_BACKEND=2;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_REPLICAS=1;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_SINGLE_PASS_GROUPS=128;HLSLPERF_SINGLE_PASS_ITEMS_SCALE=2;HLSLPERF_VECTOR_WIDTH=1;HLSLPERF_WAVE_SIZE=32","2.1381;2.0738;2.221;2.3166;2.0142;2.0374;2.0063;2.036;2.0151;2.0352;1.9798",""
