candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0297,2.0489,0.0072,6199.4561,1.0081,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0582;2.0395;2.0377;2.0107;2.0297;2.0132;2.0343;2.0123;2.0282;2.015;2.0335",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.107,2.1423,0.0085,5971.9847,0.9711,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.1123;2.1022;2.159;2.0998;2.1208;2.0975;2.1255;2.1009;2.1086;2.107;2.1007",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,2.0961,2.1099,0.0045,6003.0113,0.9761,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.1123;2.0953;2.1076;2.0898;2.1076;2.0864;2.1019;2.1033;2.085;2.0961;2.088",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0215,2.0331,0.0036,6224.4806,1.0121,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0231;2.0147;2.0288;2.0157;2.0316;2.0184;2.0215;2.0151;2.0346;2.0283;2.0147",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0461,2.0623,0.0038,6149.7955,1,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0618;2.0461;2.0459;2.043;2.0527;2.045;2.0593;2.0417;2.0462;2.046;2.0628",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,2.0357,2.0723,0.009,6181.1837,1.0051,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.0273;2.0384;2.0347;2.0285;2.0929;2.0357;2.0422;2.0341;2.0499;2.0334;2.0517",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,1.9829,2.0014,0.0044,6345.6158,1.0318,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","1.9795;1.9898;1.982;2.0022;1.9805;2.0006;1.9814;1.9983;1.9818;1.9935;1.9829",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0456,2.0562,0.0039,6151.2686,1.0002,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0537;2.0404;2.0586;2.0456;2.0381;2.0517;2.0393;2.0504;2.0366;2.0522;2.0366",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,2.0442,2.0548,0.0042,6155.4513,1.0009,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.0572;2.0341;2.0506;2.0325;2.0519;2.0362;2.0523;2.0377;2.0466;2.0442;2.0367",""
"HLSLPERF_CROWD_BACKEND-2__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_REPLICAS-1__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-128__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-2__HLSLPERF_VECTOR_WIDTH-1__HLSLPERF_WAVE_SIZE-32",true,true,true,"",,,,,,,,2,2.5054,2.5601,0.0119,5022.3968,0.8167,"HLSLPERF_CROWD_BACKEND=2;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_REPLICAS=1;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_SINGLE_PASS_GROUPS=128;HLSLPERF_SINGLE_PASS_ITEMS_SCALE=2;HLSLPERF_VECTOR_WIDTH=1;HLSLPERF_WAVE_SIZE=32","2.502;2.5313;2.4949;2.5129;2.4945;2.5268;2.5243;2.4718;2.5054;2.5888;2.5037",""
