candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0333,2.0606,0.0075,6188.358,1.0177,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0503;2.0639;2.0462;2.0574;2.0274;2.0333;2.0196;2.0318;2.0207;2.0348;2.0222",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.1084,2.1221,0.0034,5967.906,0.9815,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.1084;2.1108;2.1064;2.1225;2.1024;2.1155;2.1057;2.1071;2.1217;2.1044;2.1187",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,2.1132,2.1175,0.0042,5954.5477,0.9793,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.1146;2.0962;2.115;2.0967;2.1132;2.0991;2.1193;2.102;2.1133;2.1003;2.1157",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0313,2.0385,0.0021,6194.6339,1.0188,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0379;2.0321;2.039;2.0313;2.0328;2.0303;2.0307;2.0261;2.0357;2.0282;2.0271",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0694,2.0815,0.0028,6080.4639,1,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0841;2.0687;2.0783;2.0683;2.0751;2.0682;2.0675;2.0749;2.0694;2.0789;2.0661",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,2.0617,2.0873,0.0057,6103.0547,1.0037,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.0726;2.057;2.0593;2.0627;2.0583;2.0796;2.0617;2.0675;2.0598;2.0949;2.0591",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0132,2.0236,0.0027,6250.2046,1.0279,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0261;2.0102;2.0192;2.0086;2.0212;2.0105;2.0171;2.0124;2.0134;2.011;2.0132",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-1",true,true,true,"",,,,,,,,4,2.0814,2.0926,0.003,6045.3208,0.9942,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=1","2.0864;2.0746;2.0887;2.076;2.0787;2.0814;2.0812;2.0948;2.0829;2.0904;2.0802",""
"HLSLPERF_CROWD_BACKEND-1__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_VECTOR_WIDTH-4",true,true,true,"",,,,,,,,4,2.085,2.094,0.0035,6034.854,0.9925,"HLSLPERF_CROWD_BACKEND=1;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_VECTOR_WIDTH=4","2.0864;2.0791;2.0863;2.0792;2.0977;2.09;2.0764;2.0902;2.0768;2.085;2.0738",""
"HLSLPERF_CROWD_BACKEND-2__HLSLPERF_CROWD_TILE_BINS-512__HLSLPERF_CROWD_TILE_REPLICAS-1__HLSLPERF_CROWD_TILE_SIZE-16__HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-128__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-2__HLSLPERF_VECTOR_WIDTH-1__HLSLPERF_WAVE_SIZE-32",true,true,true,"",,,,,,,,2,2.5283,2.5365,0.0095,4976.9059,0.8185,"HLSLPERF_CROWD_BACKEND=2;HLSLPERF_CROWD_TILE_BINS=512;HLSLPERF_CROWD_TILE_REPLICAS=1;HLSLPERF_CROWD_TILE_SIZE=16;HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128;HLSLPERF_SCAN_BACKEND=1;HLSLPERF_SINGLE_PASS_GROUPS=128;HLSLPERF_SINGLE_PASS_ITEMS_SCALE=2;HLSLPERF_VECTOR_WIDTH=1;HLSLPERF_WAVE_SIZE=32","2.5352;2.5378;2.4961;2.5314;2.5123;2.5303;2.5283;2.464;2.4873;2.5295;2.5261",""
