candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,4,4.5677,4.5815,0.0016,29384.1587,0.986,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=64","4.5736;4.562;4.5801;4.5605;4.584;4.5682;4.564;4.5671;4.5633;4.5714;4.5649;4.5804;4.5701;4.5677;4.5615",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,4,4.5256,4.5692,0.004,29657.4439,0.9951,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=64","4.525;4.5539;4.5299;4.5758;4.5306;4.5256;4.5227;4.5436;4.5207;4.5445;4.5191;4.5663;4.5214;4.5232;4.5199",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,4,4.6014,4.6177,0.0033,29169.143,0.9788,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=64","4.5871;4.6183;4.6045;4.6175;4.6008;4.6077;4.6023;4.6033;4.5933;4.5708;4.6014;4.5984;4.6059;4.5749;4.569",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,2,5.0546,5.0675,0.0023,26553.5805,0.891,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=128","5.0658;5.056;5.0493;5.0546;5.0613;5.0712;5.0497;5.0618;5.0469;5.0555;5.0285;5.0531;5.066;5.0366;5.0447",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,4,4.9588,4.9888,0.0173,27066.7925,0.9082,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128","4.8466;4.9873;4.7271;4.9926;4.9063;4.9706;4.7947;4.9662;4.9777;4.9054;4.9588;4.7969;4.9746;4.9851;4.878",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,4,4.4566,4.4782,0.0025,30116.6198,1.0106,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128","4.4566;4.4765;4.4502;4.4534;4.4556;4.4599;4.4538;4.4616;4.4555;4.4762;4.4501;4.4686;4.4457;4.4823;4.4679",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,2,5.2753,5.3001,0.0153,25442.5756,0.8537,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=256","5.3023;5.2862;5.2903;5.2991;5.2916;5.0736;5.2753;5.2837;5.1032;5.2745;5.2724;5.125;5.2733;5.296;5.1641",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,4,4.3552,4.3866,0.0035,30817.7397,1.0341,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256","4.3645;4.3775;4.3562;4.3729;4.3541;4.389;4.3434;4.3856;4.3552;4.3471;4.343;4.3483;4.3471;4.3652;4.3525",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,4,4.5037,4.5229,0.0024,29801.9891,1,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256","4.5109;4.5125;4.4917;4.5034;4.502;4.5235;4.5019;4.505;4.4864;4.5226;4.5065;4.5037;4.4881;4.5014;4.5077",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,4,4.3567,4.3719,0.0023,30807.3414,1.0337,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=512","4.3567;4.3608;4.3646;4.3803;4.3594;4.3567;4.3571;4.3683;4.35;4.3456;4.3481;4.3502;4.3497;4.3433;4.3469",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,4,4.3597,4.3852,0.0027,30786.0009,1.033,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512","4.3635;4.3573;4.3703;4.3587;4.3741;4.3584;4.3762;4.3483;4.3873;4.3625;4.3844;4.3538;4.3597;4.3597;4.352",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,4,4.4642,4.4787,0.0024,30065.0789,1.0088,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512","4.4679;4.4841;4.4698;4.4748;4.4642;4.4763;4.4616;4.465;4.4761;4.4593;4.461;4.4515;4.4515;4.4427;4.4616",""
