candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,8,1.5539,1.5615,0.0026,10796.5661,0.9234,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=64","1.5496;1.563;1.5539;1.5527;1.5533;1.5555;1.5509;1.5608;1.5518;1.5517;1.5601;1.5506;1.5553;1.5555;1.5567",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,8,1.4692,1.4777,0.003,11419.6753,0.9767,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=64","1.4653;1.468;1.4654;1.4692;1.4677;1.4793;1.4771;1.4746;1.475;1.4687;1.4693;1.469;1.4755;1.4657;1.4719",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,8,1.472,1.4792,0.0029,11397.2555,0.9747,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=64","1.4787;1.468;1.4676;1.4735;1.4717;1.4676;1.4729;1.4756;1.4714;1.4752;1.472;1.471;1.4675;1.4803;1.4785",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,8,1.5198,1.5257,0.0027,11038.9857,0.9441,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=128","1.5191;1.5259;1.5209;1.5141;1.516;1.5173;1.5248;1.5232;1.5157;1.5185;1.5198;1.5256;1.5148;1.5248;1.5207",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,8,1.4647,1.4683,0.0016,11454.4093,0.9796,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128","1.4655;1.4689;1.4607;1.468;1.4633;1.4644;1.4647;1.466;1.4663;1.4614;1.4647;1.4653;1.4662;1.4611;1.464",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,8,1.4632,1.4707,0.0028,11466.1518,0.9806,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128","1.467;1.4612;1.4652;1.4701;1.4702;1.4646;1.472;1.4671;1.4629;1.4587;1.4613;1.4632;1.4593;1.4632;1.4604",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,8,1.5034,1.5106,0.003,11159.3673,0.9544,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=256","1.508;1.5025;1.5075;1.5085;1.5153;1.5014;1.5018;1.5023;1.5034;1.4973;1.5046;1.5051;1.5051;1.4987;1.4998",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,8,1.4411,1.4469,0.0022,11642.0321,0.9957,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256","1.4421;1.4384;1.442;1.4467;1.4411;1.4389;1.443;1.4413;1.4357;1.442;1.4472;1.4376;1.4384;1.4385;1.4407",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,8,1.4349,1.4408,0.0027,11692.499,1,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256","1.4371;1.4391;1.4349;1.4422;1.4374;1.4333;1.4328;1.4341;1.4402;1.4299;1.4365;1.4393;1.429;1.4312;1.4346",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,8,1.5144,1.5197,0.0021,11078.1649,0.9475,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=512","1.5196;1.5094;1.5161;1.517;1.5098;1.5122;1.5144;1.5198;1.5157;1.5163;1.5138;1.5129;1.5118;1.5109;1.5158",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,8,1.4489,1.4536,0.0029,11579.5978,0.9903,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512","1.4431;1.4418;1.4469;1.4473;1.4489;1.4521;1.448;1.4523;1.4444;1.452;1.4531;1.4416;1.4495;1.4546;1.4491",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,8,1.4272,1.4329,0.0024,11754.9657,1.0053,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512","1.426;1.4263;1.4293;1.4314;1.4285;1.4273;1.4225;1.4269;1.435;1.4235;1.4296;1.4271;1.423;1.432;1.4272",""
