candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,16,0.7284,0.7313,0.0024,359.8803,0.9976,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=64","0.7268;0.7267;0.7275;0.7278;0.7265;0.7288;0.7314;0.7312;0.7269;0.731;0.729;0.7267;0.7284;0.7286;0.7301",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,16,0.7337,0.7365,0.0019,357.2953,0.9904,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=64","0.735;0.7334;0.7363;0.7336;0.7371;0.7329;0.7357;0.7337;0.7357;0.7358;0.7328;0.7331;0.7354;0.7335;0.7332",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,16,0.7281,0.735,0.006,360.0496,0.998,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=64","0.7278;0.7281;0.7307;0.7268;0.7286;0.728;0.7269;0.744;0.7312;0.7304;0.7254;0.7286;0.7278;0.7273;0.7309",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,16,0.7317,0.7332,0.0019,358.2842,0.9931,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=128","0.7305;0.7335;0.7317;0.7293;0.7323;0.7319;0.7289;0.7317;0.7309;0.7331;0.7295;0.7326;0.7321;0.7303;0.7316",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,16,0.736,0.7386,0.0022,356.1896,0.9873,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128","0.7355;0.7366;0.7352;0.733;0.7341;0.7369;0.7371;0.7368;0.7387;0.736;0.735;0.7362;0.734;0.7386;0.7354",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,16,0.7273,0.7342,0.0057,360.4444,0.9991,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128","0.73;0.727;0.7262;0.7308;0.726;0.7253;0.7282;0.7298;0.7249;0.7275;0.742;0.7285;0.7263;0.7259;0.7273",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,16,0.7334,0.7354,0.002,357.4427,0.9908,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=256","0.7339;0.7337;0.7324;0.7334;0.7321;0.7302;0.7332;0.735;0.7343;0.7324;0.7349;0.733;0.7321;0.7353;0.7359",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,16,0.7365,0.7383,0.0018,355.9502,0.9867,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256","0.7345;0.7379;0.7364;0.7383;0.7384;0.7347;0.7353;0.7377;0.7365;0.7345;0.7353;0.7365;0.7369;0.7366;0.7374",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,16,0.7266,0.7341,0.0054,360.7606,1,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256","0.7256;0.732;0.7243;0.7249;0.7291;0.725;0.725;0.739;0.728;0.7279;0.7259;0.7315;0.7278;0.7251;0.7266",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,16,0.7325,0.7355,0.0021,357.8978,0.9921,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=512","0.7309;0.7322;0.7309;0.7319;0.7337;0.7321;0.7323;0.7341;0.7328;0.7311;0.7331;0.7345;0.7325;0.7357;0.7353",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,16,0.7352,0.7416,0.0065,356.5554,0.9883,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512","0.7343;0.7359;0.7353;0.7329;0.7367;0.7353;0.7344;0.7527;0.7342;0.7362;0.7352;0.7327;0.7368;0.7338;0.7332",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,16,0.7266,0.7313,0.003,360.7706,1,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512","0.7246;0.7262;0.728;0.7312;0.7261;0.727;0.731;0.7259;0.7266;0.7316;0.7258;0.7264;0.7292;0.728;0.7257",""
