candidate_id,compiled,correct,stable,rga_status,max_vgprs_used,max_live_vgprs,max_allocated_vgprs,max_sgprs_used,max_lds_bytes,max_scratch_bytes,min_occupancy_waves_per_simd,dispatches_per_batch,median_gpu_ms,p95_gpu_ms,cv,throughput_mitems_s,speedup_vs_baseline,defines,samples_gpu_ms,error
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,16,0.8613,0.8631,0.0021,2434.8965,1.0071,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=64","0.8634;0.8604;0.8609;0.8598;0.8608;0.8587;0.8568;0.8618;0.8629;0.8629;0.8627;0.862;0.8607;0.8625;0.8613",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,16,0.8575,0.859,0.0015,2445.5799,1.0115,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=64","0.8588;0.8593;0.8584;0.8559;0.8558;0.8575;0.8579;0.8582;0.8575;0.8571;0.8561;0.858;0.8585;0.856;0.8551",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-64",true,true,true,"",,,,,,,,16,0.8742,0.8782,0.0026,2398.8767,0.9922,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=64","0.8736;0.8742;0.87;0.8747;0.8778;0.8791;0.8768;0.8732;0.8746;0.8742;0.8771;0.8755;0.8734;0.8731;0.8738",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,16,0.8615,0.8652,0.003,2434.4443,1.0069,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=128","0.8647;0.8624;0.8654;0.8651;0.8624;0.8623;0.8636;0.8609;0.8605;0.8615;0.8608;0.8595;0.86;0.8577;0.8564",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,16,0.8743,0.8766,0.0019,2398.7532,0.9921,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=128","0.8723;0.8715;0.8722;0.8762;0.8769;0.8765;0.8747;0.874;0.8725;0.8741;0.8757;0.8744;0.8753;0.8743;0.8725",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-128",true,true,true,"",,,,,,,,16,0.8783,0.8812,0.0027,2387.8351,0.9876,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=128","0.8773;0.8761;0.8733;0.8787;0.8783;0.8824;0.8754;0.8777;0.8783;0.8763;0.88;0.8793;0.8755;0.8807;0.8798",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,16,0.8536,0.8557,0.002,2456.8538,1.0162,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=256","0.8556;0.8547;0.8527;0.8539;0.8553;0.8557;0.8551;0.854;0.8505;0.8536;0.8513;0.8535;0.8511;0.852;0.8519",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,16,0.8607,0.8633,0.0024,2436.601,1.0078,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=256","0.8612;0.8639;0.8614;0.8573;0.8617;0.858;0.8583;0.8583;0.8596;0.8623;0.8624;0.8631;0.8602;0.8607;0.8583",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256",true,true,true,"",,,,,,,,16,0.8674,0.8719,0.0025,2417.7659,1,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=256","0.873;0.8715;0.8678;0.8674;0.8683;0.8661;0.8696;0.869;0.8666;0.8668;0.8653;0.8656;0.8667;0.8678;0.8657",""
"HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,16,0.8521,0.855,0.0025,2461.2799,1.018,"HLSLPERF_ELEMENTS_PER_THREAD=1;HLSLPERF_GROUP_SIZE=512","0.8575;0.8505;0.8525;0.8534;0.8539;0.8511;0.8495;0.8509;0.8504;0.8492;0.8521;0.8497;0.8523;0.853;0.8536",""
"HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,16,0.8566,0.8582,0.0015,2448.3636,1.0127,"HLSLPERF_ELEMENTS_PER_THREAD=2;HLSLPERF_GROUP_SIZE=512","0.8564;0.8566;0.8585;0.857;0.8574;0.858;0.8566;0.8552;0.856;0.8553;0.8545;0.8548;0.8569;0.8538;0.8568",""
"HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-512",true,true,true,"",,,,,,,,16,0.861,0.8631,0.0019,2435.8015,1.0075,"HLSLPERF_ELEMENTS_PER_THREAD=4;HLSLPERF_GROUP_SIZE=512","0.8626;0.863;0.8629;0.8609;0.861;0.8592;0.8621;0.8634;0.8613;0.861;0.8581;0.8587;0.8601;0.8598;0.8595",""
