"element_count","scan_repeats","candidates","correct","stable","baseline_stable","selected_stable","baseline_median_ms","baseline_p95_ms","baseline_cv","selected_median_ms","selected_p95_ms","selected_cv","speedup","retained_baseline","backend","group_size","elements_per_thread","actual_items_per_thread","single_pass_groups","single_pass_items_scale","baseline_candidate","selected_candidate","output_sha256"
"2097152","1","36","36","36","True","True","0.1400025","0.1414055","0.005733245477911393","0.131125","0.13335","0.007388530661042169","1.0677025738798858","False","wave","512","2","2","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-2__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","2d503a19baf6afac92249cb78b01009673584628132b0e5466ba45095f48cb2c"
"2097152","4","36","36","35","True","True","0.2304175","0.23152575","0.005673499074058934","0.2039175","0.205239","0.004318444555984767","1.1299545159194282","False","wave","64","2","2","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-64__HLSLPERF_SCAN_BACKEND-2__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","2d503a19baf6afac92249cb78b01009673584628132b0e5466ba45095f48cb2c"
"2097152","8","36","36","36","True","True","0.35149","0.354605","0.006392259108501078","0.2996225","0.30314225","0.007284032793800357","1.1731094961159458","False","wave","128","1","1","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-2__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","2d503a19baf6afac92249cb78b01009673584628132b0e5466ba45095f48cb2c"
"2097152","12","36","36","36","True","True","0.4728625","0.47648999999999997","0.00718216782665122","0.3974975","0.39931825","0.003414031981945187","1.1895986767212372","False","wave","128","1","1","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-2__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","2d503a19baf6afac92249cb78b01009673584628132b0e5466ba45095f48cb2c"
"2097152","16","36","36","36","True","True","0.59563","0.5998715","0.005105490347264227","0.4942075","0.4956775","0.002644434686660853","1.2052225026937065","False","wave","128","1","1","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-2__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","2d503a19baf6afac92249cb78b01009673584628132b0e5466ba45095f48cb2c"
"2097152","24","36","36","36","True","True","0.8376075","0.8410537499999999","0.0035248981895456997","0.68971","0.6909935","0.00189526767913884","1.214434327470966","False","wave","128","1","1","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-1__HLSLPERF_GROUP_SIZE-128__HLSLPERF_SCAN_BACKEND-2__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","2d503a19baf6afac92249cb78b01009673584628132b0e5466ba45095f48cb2c"
"4194304","1","36","36","36","True","True","0.1655225","0.16775125","0.006618889205618696","0.1554775","0.15806625","0.00859939567796732","1.0646074190799313","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","48d6c1906ad06f2de4fb61125605dcae70e96541d5b943cb14b78a74a05fb24e"
"4194304","4","36","36","36","True","True","0.3229825","0.32652075","0.005560683930843637","0.2788675","0.2812805","0.005533940992661144","1.1581934072633062","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","48d6c1906ad06f2de4fb61125605dcae70e96541d5b943cb14b78a74a05fb24e"
"4194304","8","36","36","36","True","True","0.5316675","0.5333169999999999","0.0022024038524904627","0.441325","0.44415099999999996","0.0034176629999187443","1.204707415170226","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","48d6c1906ad06f2de4fb61125605dcae70e96541d5b943cb14b78a74a05fb24e"
"4194304","12","36","36","36","True","True","0.7426325","0.7445655","0.00212124703389409","0.6058225","0.6078907499999999","0.0027016334308771596","1.2258252210837333","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","48d6c1906ad06f2de4fb61125605dcae70e96541d5b943cb14b78a74a05fb24e"
